symbol,total_insertions
j,863
ɛ,858
a,611
r,468
i,435
n,408
e,340
w,299
ɯ,287
aː,286
ɾ,274
ɔ,274
ɨ,235
u,231
ɒ,207
s,155
o,151
l,125
e̞,112
y,112
ø,111
k,109
d,106
m,102
ä,101
ɻ,100
t,92
v,86
ʂ,85
ɑ,77
h,57
z,53
ɕ,50
g,49
ɡ,46
ɲ,43
o̞,41
æː,32
eː,31
t͡s,30
b,29
ʐ,27
æ,25
iː,25
äː,24
f,21
t͡ɕ,19
jː,18
d͡ʑ,16
yː,16
ʃ,14
p,14
t͡ʂ,13
t͡ʃ,13
oː,11
x,11
ɖ,11
ɛ̃,10
uː,9
ɑː,8
tː,7
ʋ,7
ɛː,7
ɟ,7
d͡ʒ,6
lː,6
øː,6
ʑ,6
ç,5
ŋ,5
ɴ,4
ɯː,4
ɨː,3
ː,3
ʈ,3
e̞ː,3
ʔ,3
ɔ̃,3
t͡ɨ,3
ɒː,3
dː,2
ä,2
o̞ː,2
bː,2
mː,2
ɣ,2
θ,2
ð,2
zː,2
nː,2
iːː,1
vː,1
̞,1
t͡ɯː,1
ʂː,1
t͡y,1
͡,1
ɲː,1
ʒ,1
ɳ,1
t͡ɛ,1
ɔː,1
t͡a,1
ɕː,1
kʲ,1
d͡z,1
ɔ̃ː,1
pː,1
wː,1
rː,1
t̪,1
ɸ,1
